Date,3m,6m,1y,3y,5y,7y,10y,30y
2018/1/2,3.7797,3.7725,3.6767,3.7786,3.8262,3.9,3.9008,4.3723
2018/1/3,3.6554,3.7176,3.6667,3.7426,3.8503,3.9006,3.9162,4.3723
2018/1/4,3.514,3.5774,3.5968,3.7496,3.8804,3.9104,3.9319,4.3723
2018/1/5,3.4058,3.5255,3.5392,3.7164,3.8484,3.9057,3.9212,4.3623
2018/1/8,3.2977,3.5149,3.5336,3.6771,3.8257,3.9005,3.911,4.3524
2018/1/9,3.2931,3.524,3.5382,3.6528,3.8255,3.9,3.8909,4.3524
2018/1/10,3.3434,3.5714,3.5675,3.651,3.8458,3.8913,3.9201,4.3626
2018/1/11,3.3677,3.5765,3.5675,3.6739,3.8648,3.8913,3.9546,4.3626
2018/1/12,3.3386,3.5514,3.5827,3.6619,3.8598,3.8856,3.9337,4.3526
2018/1/15,3.3466,3.5401,3.5826,3.6787,3.8713,3.9006,3.965,4.3701
2018/1/16,3.3527,3.5506,3.5828,3.663,3.8716,3.9007,3.9596,4.3626
2018/1/17,3.3722,3.5998,3.5828,3.6647,3.89,3.9022,3.9597,4.3652
2018/1/18,3.3759,3.5899,3.5828,3.6652,3.9025,3.9203,3.9797,4.3655
2018/1/19,3.3759,3.5898,3.5603,3.6712,3.8825,3.9017,3.9754,4.3676
2018/1/22,3.3617,3.5494,3.5198,3.6585,3.871,3.9317,3.9522,4.3662
2018/1/23,3.3719,3.5497,3.5398,3.6448,3.8464,3.9309,3.9414,4.3674
2018/1/24,3.3478,3.5491,3.5198,3.6107,3.8614,3.922,3.9507,4.3699
2018/1/25,3.3514,3.5196,3.5098,3.6379,3.8493,3.9128,3.9435,4.372
2018/1/26,3.3163,3.5203,3.5205,3.6352,3.8348,3.9228,3.9365,4.367
2018/1/29,3.3164,3.4999,3.5101,3.6112,3.8433,3.9215,3.9368,4.3696
2018/1/30,3.3266,3.5094,3.5101,3.6409,3.8533,3.9186,3.9292,4.3673
2018/1/31,3.3266,3.5097,3.4701,3.6263,3.8337,3.9125,3.914,4.3647
2018/2/1,3.3682,3.4996,3.43,3.6218,3.8339,3.9005,3.9066,4.3647
