Date,1 year,2 year,3 year,5 year,7 year,10 year,15 year,20 year,30 year
2019/12/1,2.44,2.745,2.685,2.82,3.12,3.173,3.47,3.5,3.74
2019/11/1,2.68,2.788,2.823,2.995,3.173,3.192,3.53,3.56,3.798
2019/10/1,2.72,2.898,2.92,3.068,3.303,3.281,3.64,3.675,3.92
2019/9/1,2.67,2.767,2.845,2.97,3.185,3.155,3.462,3.482,3.815
2019/8/1,2.537,2.674,2.816,2.93,3.101,3.068,3.385,3.454,3.71
2019/7/1,2.587,2.777,2.887,3.001,3.201,3.183,3.552,3.575,3.849
2019/6/1,2.654,2.833,2.948,3.093,3.304,3.279,3.633,3.655,3.908
2019/5/1,2.567,2.838,2.937,3.083,3.32,3.297,3.64,3.66,3.94
2019/4/1,2.685,2.923,3.08,3.203,3.445,3.416,3.727,3.757,3.983
2019/3/1,2.399,2.603,2.742,2.933,3.127,3.075,3.404,3.43,3.71
2019/2/1,2.409,2.732,2.749,3.033,3.17,3.208,3.508,3.529,3.778
2019/1/1,2.415,2.7,2.69,2.923,3.08,3.13,3.449,3.48,3.756
2018/12/1,2.575,2.897,2.905,3.014,3.226,3.27,3.598,3.56,3.745
2018/11/1,2.645,2.837,3.005,3.168,3.4,3.398,3.674,3.689,3.928
2018/10/1,2.837,3.075,3.193,3.364,3.542,3.533,3.837,3.864,4.089
2018/9/1,2.99,3.265,3.295,3.47,3.665,3.655,3.974,3.98,4.23
2018/8/1,2.836,3.149,3.293,3.386,3.596,3.6,3.924,3.94,4.199
2018/7/1,2.893,3.064,3.1,3.227,3.529,3.533,3.854,3.885,4.035
2018/6/1,3.21,3.33,3.355,3.41,3.57,3.543,3.891,3.909,4.07
2018/5/1,3.185,3.2,3.337,3.452,3.623,3.646,3.935,3.944,4.093
2018/4/1,3.007,3.13,3.201,3.175,3.653,3.653,3.963,3.985,4.103
2018/3/1,3.35,3.519,3.579,3.69,3.783,3.778,4.071,4.088,4.194
2018/2/1,3.313,3.35,3.565,3.759,3.858,3.857,4.161,4.138,4.31
2018/1/1,3.583,3.623,3.65,3.845,3.955,3.944,4.222,4.275,4.399
2017/12/1,3.803,3.824,3.837,3.86,3.938,3.915,4.195,4.238,4.392
2017/11/1,3.7,3.749,3.779,3.876,3.983,3.917,4.209,4.246,4.372
2017/10/1,3.583,3.652,3.725,3.963,3.98,3.916,4.235,4.263,4.382
2017/9/1,3.46,3.545,3.575,3.63,3.71,3.638,4.08,4.11,4.25
2017/8/1,3.428,3.547,3.613,3.635,3.729,3.675,4.138,4.175,4.247
2017/7/1,3.428,3.473,3.526,3.574,3.679,3.629,4.029,4.046,4.11
2017/6/1,3.453,3.491,3.511,3.502,3.628,3.578,3.93,3.948,3.987
2017/5/1,3.475,3.62,3.639,3.653,3.717,3.67,4.004,4.022,4.042
2017/4/1,3.16,3.251,3.267,3.347,3.493,3.477,3.9,3.914,3.926
2017/3/1,2.885,2.971,3.03,3.085,3.186,3.31,3.775,3.78,3.817
2017/2/1,2.783,2.872,2.899,3,3.19,3.358,3.774,3.792,3.815
2017/1/1,2.77,2.819,2.843,3.037,3.297,3.363,3.733,3.744,3.767
2016/12/1,2.751,2.798,2.822,2.883,3.035,3.066,3.537,3.56,3.677
2016/11/1,2.3,2.505,2.507,2.765,2.938,2.943,3.182,3.23,3.33
2016/10/1,2.19,2.357,2.368,2.48,2.693,2.744,3.023,3.05,3.158
2016/9/1,2.185,2.363,2.41,2.565,2.764,2.769,3.06,3.11,3.234
2016/8/1,2.15,2.38,2.434,2.594,2.82,2.805,3.13,3.167,3.333
2016/7/1,2.24,2.447,2.473,2.606,2.81,2.805,3.188,3.255,3.395
2016/6/1,2.39,2.538,2.566,2.7,2.886,2.875,3.38,3.447,3.568
