ticker,Name,Par,CoupRt,Freq,Maturity,Date,YrsTMat,Close Price,成交量(张)_TrdVol
G170009,17附息国债09,100,3.32,0,1,2018/1/31,0.254795,100,605990
G170017,17附息国债17,100,3.33,0,1,2018/1/31,0.50411,99.9,100120
G170024,17附息国债24,100,3.54,0,1,2018/1/31,0.753425,100,15000
G160012,16附息国债12,100,2.51,1,2,2018/1/31,0.29589,99.72,70000
G150004,15附息国债04,100,3.22,1,3,2018/1/31,0.147945,100,200190
G150012,15附息国债12,100,2.73,1,3,2018/1/31,0.358904,99.72,200390
G150022,15附息国债22,100,2.92,1,3,2018/1/31,0.646575,99.65,96450
G170007,17附息国债07,100,3.13,1,5,2018/1/31,4.19726,96.68,22080
G170014,17附息国债14,100,3.47,1,5,2018/1/31,4.446575,97.95,11070
G140013,14附息国债13,100,4.02,1,7,2018/1/31,3.419178,100.19,40
G120015,12国债15,100,3.39,2,10,2018/1/31,4.558904,97.53,222350
G130011,13附息国债11,100,3.38,2,10,2018/1/31,5.306849,97.56,1180
G170010,17附息国债10,100,3.52,2,10,2018/1/31,9.254795,96,460
G170018,17附息国债18,100,3.59,2,10,2018/1/31,9.50411,96.8,2060
G170025,17附息国债25,100,3.82,2,10,2018/1/31,9.753425,98.93,7370
G150008,15附息国债08,100,4.09,2,20,2018/1/31,17.235616,95.33,3230
G150021,15附息国债21,100,3.74,2,20,2018/1/31,17.641096,90,10540
G130019,13附息国债19,100,4.76,2,30,2018/1/31,25.624658,110.89,1200
G150017,15附息国债17,100,3.94,2,30,2018/1/31,27.484932,90.9,3880
G160008,16附息国债08,100,3.52,2,30,2018/1/31,28.230137,83.66,9380
G160019,16附息国债19,100,3.27,2,30,2018/1/31,28.556164,79.71,168340
G170015,17附息国债15,100,4.05,2,30,2018/1/31,29.476712,94.69,100490
G150010,15附息国债10,100,3.99,2,50,2018/1/31,47.312329,92.19,340
G150028,15附息国债28,100,3.89,2,50,2018/1/31,47.810959,89.5,430
G160013,16附息国债13,100,3.7,2,50,2018/1/31,48.306849,85.8,1510
G170009,17附息国债09,100,3.32,0,1,2018/2/28,0.178082,100.06,513120
G170017,17附息国债17,100,3.33,0,1,2018/2/28,0.427397,100.09,43060
G160012,16附息国债12,100,2.51,1,2,2018/2/28,0.219178,99.93,130070
G150022,15附息国债22,100,2.92,1,3,2018/2/28,0.569863,99.93,50
G170007,17附息国债07,100,3.13,1,5,2018/2/28,4.120548,97.18,7240
G170014,17附息国债14,100,3.47,1,5,2018/2/28,4.369863,98.41,3530
G150014,15附息国债14,100,3.3,1,7,2018/2/28,4.358904,98.5,300
G160006,16附息国债06,100,2.75,1,7,2018/2/28,5.046575,95.1,160
G130011,13附息国债11,100,3.38,2,10,2018/2/28,5.230137,98.29,630
G140021,14附息国债21,100,4.13,2,10,2018/2/28,6.554211,100.33,500
G150008,15附息国债08,100,4.09,2,20,2018/2/28,17.158904,97.47,2550
G150021,15附息国债21,100,3.74,2,20,2018/2/28,17.564384,94.3,5470
G130019,13附息国债19,100,4.76,2,30,2018/2/28,25.547945,108.5,10
G150017,15附息国债17,100,3.94,2,30,2018/2/28,27.408219,93.7,10390
G160008,16附息国债08,100,3.52,2,30,2018/2/28,28.153425,86.16,47880
G160019,16附息国债19,100,3.27,2,30,2018/2/28,28.479452,82.16,133070
G170015,17附息国债15,100,4.05,2,30,2018/2/28,29.4,96.1,122560
G150028,15附息国债28,100,3.89,2,50,2018/2/28,47.734247,92,50
G160013,16附息国债13,100,3.7,2,50,2018/2/28,48.230137,88.13,9050
G170009,17附息国债09,100,3.32,0,1,2018/3/30,0.09589,100,750510
G170017,17附息国债17,100,3.33,0,1,2018/3/30,0.345205,100,21380
G180003,18附息国债03,100,3.38,0,1,2018/3/30,0.843836,100.04,64000
G160012,16附息国债12,100,2.51,1,2,2018/3/30,0.136986,99.88,48000
G130013,13附息国债13,100,3.09,1,5,2018/3/30,0.167123,100.05,5200
G130011,13附息国债11,100,3.38,2,10,2018/3/30,5.147945,98.76,190
G160004,16附息国债04,100,2.85,2,10,2018/3/30,7.832877,94.39,10
G170010,17附息国债10,100,3.52,2,10,2018/3/30,9.09589,97.78,4000
G150008,15附息国债08,100,4.09,2,20,2018/3/30,17.076712,99,1080
G150021,15附息国债21,100,3.74,2,20,2018/3/30,17.482192,95.61,240
G150017,15附息国债17,100,3.94,2,30,2018/3/30,27.326027,95.15,1200
G160008,16附息国债08,100,3.52,2,30,2018/3/30,28.071233,87.73,5410
G160019,16附息国债19,100,3.27,2,30,2018/3/30,28.39726,83.68,125610
G170015,17附息国债15,100,4.05,2,30,2018/3/30,29.317808,97.79,2240
G150028,15附息国债28,100,3.89,2,50,2018/3/30,47.652055,92.13,350
G160013,16附息国债13,100,3.7,2,50,2018/3/30,48.147945,88.96,11950
G170017,17附息国债17,100,3.33,0,1,2018/4/27,0.268493,100.06,118680
G150012,15附息国债12,100,2.73,1,3,2018/4/27,0.123288,99.82,21720
G150022,15附息国债22,100,2.92,1,3,2018/4/27,0.410959,99.88,100100
G160009,16附息国债09,100,2.55,1,3,2018/4/27,1.00274,99.59,130710
G160016,16附息国债16,100,2.43,1,3,2018/4/27,1.252055,99,290
G160002,16附息国债02,100,2.53,1,5,2018/4/27,2.717808,97.7,20
G160006,16附息国债06,100,2.75,1,7,2018/4/27,4.887671,96.55,40
G130011,13附息国债11,100,3.38,2,10,2018/4/27,5.071233,99.98,6180
G150023,15附息国债23,100,2.99,2,10,2018/4/27,7.468493,94.48,120
G150008,15附息国债08,100,4.09,2,20,2018/4/27,17,101,1150
G150021,15附息国债21,100,3.74,2,20,2018/4/27,17.405479,96.87,80
G150017,15附息国债17,100,3.94,2,30,2018/4/27,27.249315,97.29,6140
G160008,16附息国债08,100,3.52,2,30,2018/4/27,27.994521,89.6,33390
G160019,16附息国债19,100,3.27,2,30,2018/4/27,28.320548,85.75,164350
G170015,17附息国债15,100,4.05,2,30,2018/4/27,29.241096,100,150
G150010,15附息国债10,100,3.99,2,50,2018/4/27,47.076712,98,110
G150028,15附息国债28,100,3.89,2,50,2018/4/27,47.575342,94.88,340
G160013,16附息国债13,100,3.7,2,50,2018/4/27,48.071233,91.12,7250
G170017,17附息国债17,100,3.33,0,1,2018/5/30,0.178082,100.08,142120
G180003,18附息国债03,100,3.38,0,1,2018/5/30,0.676712,100.14,27550
G130023,13附息国债23,100,4.13,1,5,2018/5/30,0.441096,100.26,30
G140001,14附息国债01,100,4.47,1,5,2018/5/30,0.608219,101.1,140
G180001,18附息国债01,100,3.81,1,5,2018/5/30,4.638356,102.72,1080
G130008,13附息国债08,100,3.29,1,7,2018/5/30,1.886863,100.72,200
G160006,16附息国债06,100,2.75,1,7,2018/5/30,4.79726,96.37,430
G160014,16附息国债14,100,2.95,1,7,2018/5/30,5.046575,97.5,250
G130011,13附息国债11,100,3.38,2,10,2018/5/30,4.980822,100.01,120
G160010,16附息国债10,100,2.9,2,10,2018/5/30,7.931507,94.61,70
G170010,17附息国债10,100,3.52,2,10,2018/5/30,8.928767,98.77,300
G150008,15附息国债08,100,4.09,2,20,2018/5/30,16.909589,102,2330
G150021,15附息国债21,100,3.74,2,20,2018/5/30,17.315068,97.7,670
G150017,15附息国债17,100,3.94,2,30,2018/5/30,27.158904,98.58,2190
G160008,16附息国债08,100,3.52,2,30,2018/5/30,27.90411,90.4,139330
G160019,16附息国债19,100,3.27,2,30,2018/5/30,28.230137,86.79,351990
G170015,17附息国债15,100,4.05,2,30,2018/5/30,29.150685,100,14270
G150010,15附息国债10,100,3.99,2,50,2018/5/30,46.986301,98,250
G150028,15附息国债28,100,3.89,2,50,2018/5/30,47.484932,96.05,990
G160013,16附息国债13,100,3.7,2,50,2018/5/30,47.980822,92.2,31910
G170017,17附息国债17,100,3.33,0,1,2018/6/28,0.09863,100.01,586440
G170012,17附息国债12,100,3.62,1,2,2018/6/28,0.964384,100.45,1000
G170014,17附息国债14,100,3.47,1,5,2018/6/28,4.041096,99.75,860
G130008,13附息国债08,100,3.29,1,7,2018/6/28,1.807411,99.69,500
G140006,14附息国债06,100,4.33,1,7,2018/6/28,2.764384,102.2,500
G160006,16附息国债06,100,2.75,1,7,2018/6/28,4.717808,96.68,100
G080025,08国债25,100,2.9,2,10,2018/6/28,0.465753,99.15,60
G130011,13附息国债11,100,3.38,2,10,2018/6/28,4.90137,99,470
G160010,16附息国债10,100,2.9,2,10,2018/6/28,7.852055,94.75,13740
G170010,17附息国债10,100,3.52,2,10,2018/6/28,8.849315,99.75,100130
G150008,15附息国债08,100,4.09,2,20,2018/6/28,16.830137,102.47,550
G150021,15附息国债21,100,3.74,2,20,2018/6/28,17.235616,97.99,10
G130019,13附息国债19,100,4.76,2,30,2018/6/28,25.219178,114,270
G150017,15附息国债17,100,3.94,2,30,2018/6/28,27.079452,98.77,1160
G160008,16附息国债08,100,3.52,2,30,2018/6/28,27.824658,91.02,83440
G160019,16附息国债19,100,3.27,2,30,2018/6/28,28.150685,87.56,159490
G170015,17附息国债15,100,4.05,2,30,2018/6/28,29.071233,100.1,1620
G150010,15附息国债10,100,3.99,2,50,2018/6/28,46.906849,98.4,330
G150028,15附息国债28,100,3.89,2,50,2018/6/28,47.405479,96,1110
G160013,16附息国债13,100,3.7,2,50,2018/6/28,47.90137,92.73,4990
G180003,18附息国债03,100,3.38,0,1,2018/7/31,0.506849,100.3,1790
G150022,15附息国债22,100,2.92,1,3,2018/7/31,0.150685,100.15,10
G160009,16附息国债09,100,2.55,1,3,2018/7/31,0.742466,99.73,1086590
